selected_variables.Longitude,selected_variables.Latitude
-122.261995,47.755664
-114.033025,50.970854
-125.218562,50.051056
-116.109603,44.891258
-113.637795,47.421387
-124.120918,48.440033
-123.433222,43.134132
-111.649236,40.649503
-123.418068,48.926343
-124.711578,49.5351
-135.212953,57.532438
-114.880447,47.192555
-118.83894,43.054304
-113.266527,54.704072
-125.226205,50.278431
-121.943926,49.133795
-111.256767,43.377022
-121.590847,38.54234
-113.654089,53.614195
-122.560495,38.572122
-110.484931,40.185342
-123.044376,44.938513
-121.008281,39.351469
-125.611409,48.981965
-123.261996,44.069207
-125.015701,49.688588
-111.350949,46.785446
-135.572055,57.116244
-123.8628,44.013992
-122.805792,46.573538
-122.285403,38.188251
-123.7673,48.310177
-123.518925,48.499889
-121.600229,37.908536
-125.222089,49.290548
-106.686662,52.098077
-148.906261,61.50502
-124.088713,41.251516
-131.648477,55.341185
-111.7751,43.675362
-112.852067,49.646473
-124.677095,49.551288
-116.51,47.523993
-117.402056,47.66773
-111.031519,45.638417
-122.093253,47.859591
-123.364838,48.40657
-120.320032,47.44251
-123.015137,44.902083
-155.790939,58.555225
-122.79726,49.239625
-135.354053,57.05821
-114.780967,47.115983
-111.897172,40.420692
-133.639962,55.532433
-122.105728,47.441528
-121.515507,37.983555
-118.097271,52.92457
-115.97937400000001,42.945962
-121.719523,38.025595
-123.746362,46.190353
-123.267192,44.58871
-121.722738,45.699592
-124.018261,41.142173
-122.077132,48.968032
-122.580045,44.148812
-123.586064,48.472583
-110.757483,43.663748
-125.337502,48.875557
-119.92073,46.815247
-113.480052,42.67162
-119.716549,45.842498
-135.574644,57.103286
-122.689814,48.858586
-123.251938,44.551813
-119.764688,49.742176
-124.003754,41.203098
-123.83819,48.371393
-121.952859,38.345251
-123.734213,48.353675
-114.04224,49.024177
-124.341537,42.472637
-118.177587,46.547409
-123.716767,48.44622
-123.236956,48.424101
-112.850561,49.752269
-122.330778,46.845849
-117.432563,53.498438
-134.747039,56.857262
-113.374524,62.618089
-122.327855,44.15322
-126.142656,49.229269
-114.009653,50.89155
-120.38627,48.570862
-114.761688,47.075772
-119.652214,48.589683
-110.524169,44.099337
-147.730735,64.856034
-122.983255,49.235525
-123.124746,48.141323
-111.625467,57.259062
-122.807802,39.017285
-121.899209,49.196081
-122.303397,38.301375
-121.685285,38.930051
-121.837753,39.323613
-133.580746,57.780188
-114.08715,51.048317
-122.937988,45.536525
-116.346878,44.82535
-123.95287,40.833112
-121.421605,49.384453
-123.36016,48.48186
-122.849905,49.281912
-122.90436,47.017923
-125.110667,49.859434
-122.455345,43.736105
-150.960495,63.525028
-136.338186,57.838812
-130.982044,55.757168
-111.873028,40.799224
-114.307805,48.209569
-120.739576,42.830875
-124.413459,54.6701
-113.737503,47.586433
-135.801301,57.117117
-121.507726,38.579202
-122.011252,49.040853
-113.980436,50.866395
-106.441387,51.778827
-123.935964,48.775661
-121.260928,39.113449
-122.262129,47.198755
-121.708588,41.568867
-122.910995,44.806098
-123.3974,48.421478
-123.083435,45.506098
-128.105469,51.640945
-123.338525,48.898962
-122.528729,48.698901
-114.164414,62.606297
-123.425667,49.367328
-123.365672,40.796045
-121.086236,39.086783
-123.551581,48.942472
-131.722911,55.512943
-122.818397,38.408237
-122.64627,48.414805
-111.821388,43.789325
-118.249356,37.031471
-114.006553,50.911424
-127.189513,50.613222
-124.847013,49.52617
-131.71988,55.370381
-112.822287,53.45484
-122.763849,46.571143
-131.474566,55.365683
-123.093628,48.77208
-123.448921,48.431293
-122.913946,49.084251
-123.081999,49.090091
-120.6539,50.524654
-116.468243,63.477719
-123.444811,48.769706
-122.704397,48.855953
-121.336093,39.109055
-111.997557,41.174302
-122.853604,38.015203
-115.136984,50.944271
-124.890671,49.72308
-117.855255,53.709597
-122.734164,38.402182
-121.804483,42.155192
-113.004181,42.662128
-135.14986,56.963883
-121.597388,38.552386
-121.88276,39.813946
-123.058389,44.923915
-121.281561,38.844263
-116.234008,43.62547
